2022-08-26 00:51:09,362 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-08-26 00:51:09,447 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-08-26 00:51:09,451 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-08-26 00:51:09,452 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-08-26 00:51:09,459 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-08-26 00:51:09,460 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-08-26 00:51:09,463 INFO  SwAddin.cs: 201 - Setting up command manager
2022-08-26 00:51:09,465 INFO  SwAddin.cs: 204 - Adding command manager
2022-08-26 00:51:09,474 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-08-26 00:51:09,476 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-08-26 00:51:09,477 INFO  SwAddin.cs: 210 - Adding event handlers
2022-08-26 00:51:09,582 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-08-26 01:11:00,951 INFO  SwAddin.cs: 294 - Assembly export called for file ___RL-DCI-5S.SLDASM
2022-08-26 01:11:04,753 INFO  SwAddin.cs: 313 - Saving assembly
2022-08-26 01:11:07,305 INFO  SwAddin.cs: 316 - Opening property manager
2022-08-26 01:11:07,343 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ___RL-DCI-5S.SLDASM
2022-08-26 01:11:07,358 INFO  ExportHelperExtension.cs: 1136 - Found 23 in ___RL-DCI-5S.SLDASM
2022-08-26 01:11:07,359 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ___RL-DCI-5S.SLDASM
2022-08-26 01:11:07,361 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-08-26 01:11:07,367 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-08-26 01:11:07,370 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ___RL-DCI-5S.stp-1
2022-08-26 01:11:07,371 INFO  ExportHelperExtension.cs: 1136 - Found 32 in ___RL-DCI-5S.stp-1
2022-08-26 01:11:07,372 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ___RL-DCI-5S.stp-1
2022-08-26 01:11:07,374 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from ___RL-DCI-5S.SLDASM
2022-08-26 01:11:07,375 INFO  ExportHelperExtension.cs: 1136 - Found 23 in ___RL-DCI-5S.SLDASM
2022-08-26 01:11:07,376 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in ___RL-DCI-5S.SLDASM
2022-08-26 01:11:07,377 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-08-26 01:11:07,378 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-08-26 01:11:07,379 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from ___RL-DCI-5S.stp-1
2022-08-26 01:11:07,380 INFO  ExportHelperExtension.cs: 1136 - Found 32 in ___RL-DCI-5S.stp-1
2022-08-26 01:11:07,382 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in ___RL-DCI-5S.stp-1
2022-08-26 01:11:07,935 INFO  SwAddin.cs: 339 - Loading config tree
2022-08-26 01:11:07,944 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2022-08-26 01:11:07,952 INFO  SwAddin.cs: 344 - Showing property manager
2022-08-26 01:11:59,182 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-08-26 01:14:36,909 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-08-26 01:15:52,652 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-08-26 01:17:54,611 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-08-26 01:21:10,825 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-08-26 01:21:18,779 INFO  ExportHelperExtension.cs: 347 - Creating joint link1
2022-08-26 01:21:18,793 INFO  ExportHelperExtension.cs: 1397 - Fixing components for base_link
2022-08-26 01:21:18,795 INFO  ExportHelperExtension.cs: 1402 - Fixing 42
2022-08-26 01:21:18,796 INFO  ExportHelperExtension.cs: 1409 - Component 42 is already fixed
